#Error Code,Error Text to match,RM Error Code,Description,Origin,Severity,BusinessRule,Source Error Name,RM Error Name,Source Description
#null,L400-002,RM-SystemFailure-00049,System Failure: LFACS System Error.,LFACS,0,0,null,ERR_RM_LFACS_ERROR,
null,L400-010,RM-ObjectNotFound-00131,Object Not Found: Invalid input to LFACS.,LFACS,0,0,null,ERR_RM_DATA_NOT_FOUND,An invalid entry was found in one of the input fields. 
null,L400-050,RM-ObjectNotFound-00131,Object Not Found: Invalid input to LFACS.,LFACS,0,0,null,ERR_RM_DATA_NOT_FOUND,An exact match for the specified address was not found in the data base.
null,L400-055,RM-ObjectNotFound-00131,Object Not Found: Invalid input to LFACS.,LFACS,0,0,null,ERR_RM_DATA_NOT_FOUND,An exact match for the specified cable <cable> was not found in the database.
null,L400-080,RM-ObjectNotFound-00131,Object Not Found: Invalid input to LFACS.,LFACS,0,0,null,ERR_RM_DATA_NOT_FOUND,An exact match was not found for the wire center name <wc>.
null,L400-090,RM-ObjectNotFound-00131,Object Not Found: Invalid input to LFACS.,LFACS,0,0,null,ERR_RM_DATA_NOT_FOUND,A required input field <field> was left blank.
null,L400-100,RM-InvalidData-00179,Invalid Data:  Invalid Street Name.,LFACS,0,0,null,ERR_RM_INVALID_STREET_NAME,An exact match for the specified street name  <street> was not found in the data base.
null,L400-170,RM-ObjectNotFound-00131,Object Not Found: Invalid input to LFACS.,LFACS,0,0,null,ERR_RM_DATA_NOT_FOUND,
null,L400-171,RM-ObjectNotFound-00131,Object Not Found: Invalid input to LFACS.,LFACS,0,0,null,ERR_RM_DATA_NOT_FOUND,
null,L400-192,RM-InvalidData-00179,Invalid Data:  Invalid Street Name.,LFACS,0,0,null,ERR_RM_INVALID_STREET_NAME,Loop Qual error
null,L400-220,RM-ObjectNotFound-00131,Object Not Found: Invalid input to LFACS.,LFACS,0,0,null,ERR_RM_DATA_NOT_FOUND,An exact match for the specified terminal address was not found in the database.
null,L400-290,RM-ObjectNotFound-00131,Object Not Found: Invalid input to LFACS.,LFACS,0,0,null,ERR_RM_DATA_NOT_FOUND,
null,L400-310,RM-InvalidData-00180,Invalid Data:  Invalid Street Number.,LFACS,0,0,null,ERR_RM_INVALID_STREET_NUMBER,
null,L400-318,RM-InvalidData-00179,Invalid Data:  Invalid Street Name.,LFACS,0,0,null,ERR_RM_INVALID_STREET_NAME,
null,L400-320,RM-ObjectNotFound-00131,Object Not Found: Invalid input to LFACS.,LFACS,0,0,null,ERR_RM_DATA_NOT_FOUND,
null,L400-330,RM-InvalidData-00179,Invalid Data:  Invalid Street Name.,LFACS,0,0,null,ERR_RM_INVALID_STREET_NAME,
null,L400-417,RM-ObjectNotFound-00131,Object Not Found: Invalid input to LFACS.,LFACS,0,0,null,ERR_RM_DATA_NOT_FOUND,
null,L410-301,RM-ObjectNotFound-00131,Object Not Found: Invalid input to LFACS.,LFACS,0,0,null,ERR_RM_DATA_NOT_FOUND,
null,L410-302,RM-ObjectNotFound-00131,Object Not Found: Invalid input to LFACS.,LFACS,0,0,null,ERR_RM_DATA_NOT_FOUND,
null,L410-303,RM-ObjectNotFound-00131,Object Not Found: Invalid input to LFACS.,LFACS,0,0,null,ERR_RM_DATA_NOT_FOUND,
null,L500-003,RM-ObjectNotFound-00131,Object Not Found: Invalid input to LFACS.,LFACS,0,0,null,ERR_RM_DATA_NOT_FOUND,
null,L500-185,RM-ObjectNotFound-00131,Object Not Found: Invalid input to LFACS.,LFACS,0,0,null,ERR_RM_DATA_NOT_FOUND,
