#NetProvision Error Code,Error Description,BIS Error Code,BIS Error Description,Origin,sevirity,business rule,BIS Error Name
211794,null,RM-DataNotFound-01973,Couldn't find data- Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_DATA_NOT_FOUND
211795,null,RM-DataNotFound-01973,Couldn't find data- Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_DATA_NOT_FOUND
211796,null,RM-InvalidData-01972,Missing required data- Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_MISSING_DATA
211797,null,RM-InvalidData-01972,Missing required data- Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_MISSING_DATA
211798,null,RM-InvalidData-01972,Missing required data- Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_MISSING_DATA
211799,null,RM-InvalidData-01972,Missing required data- Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_MISSING_DATA
211801,null,RM-ObjectNotFound-01974,Couldn’t find the requested object-Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_OBJECT_NOT_FOUND
211805,null,RM-BusinessViolation-01976,BusinessViolation-Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_BUSINESS_VIOLATION
211807,null,RM-InvalidData-01972,Missing required data- Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_MISSING_DATA
211808,null,RM-InvalidData-01972,Missing required data- Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_MISSING_DATA
211810,null,RM-InvalidData-01972,Missing required data- Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_MISSING_DATA
211812,null,RM-InvalidData-01972,Missing required data- Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_MISSING_DATA
211813,null,RM-InvalidData-01972,Missing required data- Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_MISSING_DATA
211816,null,RM-BusinessViolation-01976,BusinessViolation-Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_BUSINESS_VIOLATION
211817,null,RM-BusinessViolation-01976,BusinessViolation-Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_BUSINESS_VIOLATION
211819,null,RM-BusinessViolation-01976,BusinessViolation-Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_BUSINESS_VIOLATION
